Venue,Date,Description,Location,
Bob Popular,2/14/97,,"Austin, TX",
Bob Popular,2/21/97,,"Austin, TX",
Bob Popular,2/28/97,,"Austin, TX",
Bob Popular,3/7/97,,"Austin, TX",
Bob Popular,3/20/97,,"Austin, TX",
Bob Popular,3/27/97,,"Austin, TX",
Kappa Sigma - TCU,4/5/97,,"Fort Worth, TX",
Bob Popular,4/10/97,,"Austin, TX",
Carlos N Charlies,4/13/97,,"Austin, TX",
Bob Popular,4/17/97,,"Austin, TX",
Kite & Key KKG KAT at Bob Popular,4/19/97,,"Austin, TX",
Bob Popular,4/24/97,,"Austin, TX",
ATO Party,4/26/97,,"Boerne, TX",
Bob Popular,5/1/97,,"Austin, TX",
Recording at Cedar Creek,7/14/97,tracking,"Austin, TX",
Recording at Cedar Creek,8/18/97,overdubs,"Austin, TX",
Recording at Cedar Creek,8/20/97,overdubs,"Austin, TX",
Recording at Cedar Creek,8/21/97,overdubs,"Austin, TX",
Scholtz Garten,10/16/97,CD release show,"Austin, TX",
,11/14/97,,"Dallas, TX",
Cadillac Jack's,12/31/97,"with Pat Green, Natalie Maines was there","Waco, TX",
Poor David's Pub,1/15/98,,"Dallas, TX",
Stubb's Barbecue,1/21/98,with Pat Green,"Austin, TX",
Delta Tau Delta,1/23/98,,"Austin, TX",
La Zona Rosa,1/24/98,,"Austin, TX",
Shadow Canyon,1/29/98,,"College Station, TX",
Phi Kappa Psi,1/30/98,,"Austin, TX",
American Legion Hall,1/31/98,,"Kerrville, TX",
Stubb's Barbecue,2/18/98,,"Austin, TX",
Stubb's Barbecue,2/21/98,,"Austin, TX",
Back Forty,2/26/98,,"Austin, TX",
Cadillac Jack's,2/28/98,,"Waco, TX",
Pi Kappa Alpha,3/5/98,,"Austin, TX",
La Zona Rosa,3/5/98,,"Austin, TX",
Kappa Sigma,3/6/98,,"Austin, TX",
Stubb's Barbecue,3/12/98,,"Austin, TX",
Adair's Saloon,3/14/98,,"Dallas, TX",
Sons of Hermann Hall,3/26/98,,"Dallas, TX",
Sigma Chi,3/28/98,,"Austin, TX",
Poor David's Pub,4/10/98,,"Dallas, TX",
Adair's Saloon,4/11/98,,"Dallas, TX",
LJT Fesitval,4/18/98,,"Meridian, TX",
Phi Kappa Sigma,4/18/98,,"Austin, TX",
UT Polo Team,4/19/98,,"Houston, TX",
Stubb's Barbecue,4/23/98,,"Austin, TX",
Sub T 16,4/25/98,,"Abilene, TX",
Arthur Anderson Party ,4/30/98,,"Snook, TX",
Big Beau's,5/1/98,,"Nacogdoches, TX",
Horny's,5/3/98,,"Fort Worth, TX",
Stubb's Barbecue,5/7/98,,"Austin, TX",
Sneaker's,5/7/98,,"Nacogdoches, TX",
Private - Southwestern Party,5/9/98,,"Georgetown, TX",
Horny's,5/15/98,,"Fort Worth, TX",
Snake River Saloon,5/16/98,,"Dallas, TX",
Poor David's Pub,5/21/98,,"Dallas, TX",
Stubb's Barbecue,5/28/98,,"Austin, TX",
Red Onion,6/5/98,with Pat Green,"Garland, TX",
Rick's Place,6/17/98,with Pat Green,"Denton, TX",
Poor David's Pub,6/19/98,,"Dallas, TX",
Aardvark,6/20/98,,"Fort Worth, TX",
Cadillac Jack's,6/26/98,,"Waco, TX",
Adair's Saloon,6/27/98,,"Dallas, TX",
Houston Private Party,7/2/98,,"Houston, TX",
House Pasture,7/4/98,with Pat Green,"Concan, TX",
Stubb's Barbecue,7/8/98,,"Austin, TX",
The Tap  ,7/9/98,,"College Station, TX",
Poor David's Pub,7/10/98,,"Dallas, TX",
Sammy's BBQ,7/11/98,,"Dallas, TX",
Toucan Too's,7/17/98,,"Fort Worth, TX",
Red Onion,7/18/98,,"Garland, TX",
